brand,title,accords,gender,age,secondary notes
Yohji-Yamamoto,I'm Not Going to Disturb You Homme Yohji Yamamoto for women and men,"balsamic,fresh spicy,white floral,amber,smoky,herbal,",unisex,older_twenty_five,"phenolic,chemical,leather,apple,vanilla"
Fleurage,Bayou Cologne Fleurage for men,"balsamic,fruity,green,woody,floral",male,older_twenty_five,"cacao,berry,whiteflower,grapefruit,musty"
Sunnamusk,Golden Dust Sunnamusk for women and men,"balsamic,fruity,vanilla,floral,amber,citrus,",unisex,older_twenty_five,"dairy,powdery,coconut,grass,nut"
Comme-des-Garcons,Comme des Garcons Series 6 Synthetic: Tar Comme des Garcons for women and men,"balsamic,leather,woody,aldehydic,fresh spicy,aromatic,",unisex,older_twenty_five,"fatty,animalic,phenolic,waxy,lily"
Carner-Barcelona,Black Calamus Carner Barcelona for women and men,"balsamic,oud,amber,fresh spicy,woody,soft spicy,",unisex,older_twenty_five,"cacao,berry,whiteflower,blackcurrant,anisic"
Molton-Brown,Mesmerising Oudh Accord & Gold Molton Brown for women and men,"balsamic,oud,sweet,green,tobacco,",unisex,older_twenty_five,"animalic,leather,grass,leaf,dry"
Mugler,Innocent Rock (2019) Mugler for women,"balsamic,patchouli,warm spicy,rose,citrus,smoky,",female,older_twenty_five,"phenolic,chemical,leather,vanilla,medicinal"
Mark-Buxton,A Day in My Life Mark Buxton for women and men,"balsamic,rose,amber,floral,patchouli,citrus,",unisex,older_twenty_five,"cacao,berry,whiteflower,lemon,pungent"
Amouage,Jubilation for Women Amouage for women,"balsamic,smoky,amber,yellow floral,aromatic,woody,",female,older_twenty_five,"phenolic,chemical,leather,vanilla,medicinal"
Art-Deco-Perfumes,Panax Ginseng Art Deco Perfumes for men,"balsamic,smoky,earthy,green,leather,herbal",male,older_twenty_five,"phenolic,animalic,medicinal,musk,tobacco"
Caron,Bain de Champagne (Royal Bain de Caron) Caron for women and men,"balsamic,vanilla,floral,woody,amber,warm spicy,",unisex,older_twenty_five,"dairy,powdery,coconut,grass,nut"
